ключ,где на сайте,русский,узбекский,исправление
ui.landing.reviews.items.0.text,Главная страница (/),"Думал, что мне прямая дорога в экономику. Оказалось, что мне ближе дизайн, и маршрут был очень понятный.","Iqtisodga boraman deb oʻylagandim. Maʼlum boʻlishicha, menga dizayn yaqinroq ekan. Yoʻl ham juda tushunarli yozilgan.",
ui.landing.reviews.items.0.author,Главная страница (/),"Абитуриент, 17 лет","Abituriyent, 17 yoshda",
ui.landing.reviews.items.1.text,Главная страница (/),"Понравилось, что всё честно: суммы диапазонами и есть план Б на случай, если не получится.","Hammasi rostgoʻylik bilan yozilgani yoqdi: summalar taxminiy oraliqda berilgan, biror narsa chiqmasa, zaxira reja ham bor.",
ui.landing.reviews.items.1.author,Главная страница (/),"Студентка, 20 лет","Talaba qiz, 20 yoshda",
ui.landing.reviews.items.2.text,Главная страница (/),"Хотел сменить профессию. Отчёт показал, с чего начать без больших денег.",Kasbimni oʻzgartirmoqchi edim. Hisobot katta pul sarflamasdan nimadan boshlashni koʻrsatib berdi.,
ui.landing.reviews.items.2.author,Главная страница (/),"Работает, 28 лет","Ishlaydi, 28 yoshda",
ui.landing.pricing.title,Главная страница (/),Цены,Narxlar,
ui.landing.pricing.subtitle,Главная страница (/),Тесты и портрет бесплатно. Платите только за полный отчёт с маршрутом.,Testlar va portret bepul. Faqat yoʻl xaritasi yozilgan toʻliq hisobot uchun toʻlaysiz.,
ui.landing.pricing.oneTime,Главная страница (/),разово,bir martalik,
ui.landing.pricing.plans.0.name,Главная страница (/),Бесплатно,Bepul,
ui.landing.pricing.plans.0.price,Главная страница (/),0 сум,0 soʻm,
ui.landing.pricing.plans.0.features.0,Главная страница (/),Все тесты,Barcha testlar,
ui.landing.pricing.plans.0.features.1,Главная страница (/),Ваш тип и сильные стороны,Tipingiz va kuchli tomonlaringiz,
ui.landing.pricing.plans.0.features.2,Главная страница (/),2–3 подходящих направления,Sizga mos 2–3 ta yoʻnalish,
ui.landing.pricing.plans.1.name,Главная страница (/),«Маршрут»,«Marshrut»,
ui.landing.pricing.plans.1.price,Главная страница (/),29 000 сум,29 000 soʻm,
ui.landing.pricing.plans.1.features.0,Главная страница (/),"Для тех, кто знает цель",Maqsadini biladiganlar uchun,
ui.landing.pricing.plans.1.features.1,Главная страница (/),Проверка цели на реальность,Maqsad qanchalik real ekanini baholash,
ui.landing.pricing.plans.1.features.2,Главная страница (/),"Путь из точки А в точку Б: шаги, сроки, деньги","Maqsadingizgacha boʻlgan yoʻl: qadamlar, muddat, xarajat",
ui.landing.pricing.plans.1.features.3,Главная страница (/),PDF для себя и родителей,Oʻzingiz va ota-onangiz uchun PDF,
ui.landing.pricing.plans.2.name,Главная страница (/),«Навигатор»,«Navigator»,
ui.landing.pricing.plans.2.price,Главная страница (/),79 000 сум,79 000 soʻm,
ui.landing.pricing.plans.2.features.0,Главная страница (/),"Для тех, кто ищет себя",Oʻzini izlayotganlar uchun,
ui.landing.pricing.plans.2.features.1,Главная страница (/),Подбор 2–3 целей с обоснованием,Sizga mos 2–3 ta maqsad va nega aynan ular,
ui.landing.pricing.plans.2.features.2,Главная страница (/),Маршрут к лучшей цели и сравнение вариантов,Eng mos maqsadga yoʻl va boshqa yoʻllar bilan solishtirish,
ui.landing.pricing.plans.2.features.3,Главная страница (/),PDF для себя и родителей,Oʻzingiz va ota-onangiz uchun PDF,
ui.landing.faq.title,Главная страница (/),Частые вопросы,Koʻp beriladigan savollar,
ui.landing.faq.items.0.q,Главная страница (/),Это правда бесплатно?,Bu rostdan ham bepulmi?,
ui.landing.faq.items.0.a,Главная страница (/),"Тесты и портрет — да, полностью. Платный только полный отчёт с маршрутом, и его можно не покупать.","Testlar va portret — ha, butunlay bepul. Faqat yoʻl xaritasi yozilgan toʻliq hisobot pullik, uni sotib olmasangiz ham boʻladi.",
ui.landing.faq.items.1.q,Главная страница (/),Какие данные вы собираете?,Qanday maʼlumotlarimni yigʻasizlar?,
ui.landing.faq.items.1.a,Главная страница (/),"Мы не спрашиваем ФИО, телефон и почту. Аккаунт — это только логин и пароль, и нужен он только перед оплатой.","Biz F.I.Sh., telefon raqami va elektron pochtani soʻramaymiz. Akkaunt uchun faqat login va parol kerak, u ham faqat toʻlovdan oldin.",
ui.landing.faq.items.2.q,Главная страница (/),На чём основаны результаты?,Natijalar nimaga asoslangan?,
ui.landing.faq.items.2.a,Главная страница (/),"На признанных методиках: Big Five (личность) и тест Холланда RIASEC (интересы). Баллы считаются по формулам, а ИИ помогает описать результат понятным языком.","Tan olingan metodikalarga: Big Five (shaxsiyat) va Holland RIASEC testi (qiziqishlar). Ballar formulalar boʻyicha hisoblanadi, sunʼiy intellekt esa natijani oddiy, tushunarli tilda yozib beradi.",
ui.landing.faq.items.3.q,Главная страница (/),Сколько времени это займёт?,Bu qancha vaqt oladi?,
ui.landing.faq.items.3.a,Главная страница (/),Около 20 минут. Прогресс сохраняется: можно закрыть страницу и продолжить позже.,"Taxminan 20 daqiqa. Javoblaringiz saqlanib boradi: sahifani yopib, keyinroq davom ettirishingiz mumkin.",
ui.landing.faq.items.4.q,Главная страница (/),Можно ли пройти на узбекском?,Rus tilida topshirsa boʻladimi?,
ui.landing.faq.items.4.a,Главная страница (/),"Да. Весь сайт и отчёт доступны на узбекском и русском, язык можно сменить в любой момент.","Ha. Sayt ham, hisobot ham oʻzbek va rus tillarida bor, tilni istalgan payt almashtirishingiz mumkin.",
ui.landing.faq.more,Главная страница (/),Все вопросы,Barcha savollar,
ui.landing.finalCta.title,Главная страница (/),"Узнайте, куда вам двигаться",Qaysi yoʻldan borishingizni bilib oling,
ui.landing.finalCta.text,Главная страница (/),"Первый результат — бесплатно, уже через 20 минут.",Birinchi natija bepul — atigi 20 daqiqada.,
ui.pages.howItWorks.title,Статическая страница «Как это работает» (/how-it-works),Как это работает,Bu qanday ishlaydi,
ui.pages.howItWorks.intro,Статическая страница «Как это работает» (/how-it-works),"yourway.uz — это навигатор возможностей. Вуз, курсы, фриланс или свой бизнес — это инструменты, а не цель. Мы помогаем понять, куда идти и как туда дойти.","yourway.uz — imkoniyatlar navigatori. Oliygoh, kurslar, frilans yoki oʻz biznesingiz — bular maqsad emas, vosita. Biz qaysi yoʻldan borishni va maqsadga qanday yetishni tushunishga yordam beramiz.",
ui.pages.howItWorks.honestyTitle,Статическая страница «Как это работает» (/how-it-works),Честно о результатах,Natijalar haqida ochiq gap,
ui.pages.howItWorks.honesty,Статическая страница «Как это работает» (/how-it-works),"Суммы и сроки в отчёте — ориентировочные диапазоны. Отчёт советует, но не решает за вас.","Hisobotdagi summa va muddatlar — taxminiy oraliqlar. Hisobot maslahat beradi, lekin siz uchun qaror qabul qilmaydi.",
ui.pages.pricing.title,Статическая страница «Цены» (/pricing),Цены,Narxlar,
ui.pages.pricing.intro,Статическая страница «Цены» (/pricing),Никаких подписок: вы платите один раз за один отчёт.,Hech qanday obuna yoʻq: bitta hisobot uchun bir marta toʻlaysiz.,
ui.pages.pricing.paymentNote,Статическая страница «Цены» (/pricing),"Способы оплаты (Payme, Click, Uzum) появятся перед запуском.","Toʻlov usullari (Payme, Click, Uzum) ishga tushirishdan oldin qoʻshiladi.",
ui.pages.faq.title,Статическая страница FAQ (/faq),Частые вопросы,Koʻp beriladigan savollar,
ui.pages.offer.title,Статическая страница «Публичная оферта» (/offer),Публичная оферта,Ommaviy oferta,
ui.pages.offer.disclaimer,Статическая страница «Публичная оферта» (/offer),"Важно: отчёты yourway.uz — это рекомендации для самопознания и профориентации. Это не психологический диагноз, не медицинская услуга и не замена консультации врача, психолога или карьерного консультанта.","Muhim: yourway.uz hisobotlari — oʻzini anglash va kasb tanlash boʻyicha tavsiyalar, xolos. Bu psixologik tashxis emas, tibbiy xizmat emas va shifokor, psixolog yoki karyera boʻyicha maslahatchi konsultatsiyasining oʻrnini bosmaydi.",
ui.pages.offer.body.0,Статическая страница «Публичная оферта» (/offer),"Черновик для юриста. Этот текст — заготовка, чтобы владелец мог собрать оферту и до консультации с юристом видел, какие разделы в ней должны быть. Перед запуском сайта текст должен проверить и утвердить юрист [ЗАПОЛНИТ ЮРИСТ].",Yurist uchun qoralama. Bu matn — moʻljal: sayt ishga tushishidan oldin uni yurist koʻrib chiqishi va tasdiqlashi kerak [YURIST TOʻLDIRADI]. Shu bosqichda u faqat oferta qanday boʻlimlardan iborat boʻlishi kerakligini koʻrsatadi.,
ui.pages.offer.body.1,Статическая страница «Публичная оферта» (/offer),"1. Общие положения. Настоящий документ является публичной офертой ООО/ИП [ЗАПОЛНИТ ЮРИСТ: точное наименование, ИНН, юридический адрес, банковские реквизиты] (далее — «Исполнитель») в адрес любого лица (далее — «Пользователь»), означающей предложение заключить договор оказания услуг на условиях, изложенных ниже, в соответствии со статьями Гражданского кодекса Республики Узбекистан [ЗАПОЛНИТ ЮРИСТ: точные статьи о публичной оферте].","1. Umumiy qoidalar. Ushbu hujjat — [YURIST TOʻLDIRADI: toʻliq nomi, STIR, yuridik manzili, bank rekvizitlari] MChJ/YaTT (bundan buyon — «Ijrochi») tomonidan har qanday shaxsga (bundan buyon — «Foydalanuvchi») qaratilgan ommaviy oferta boʻlib, Oʻzbekiston Respublikasi Fuqarolik kodeksining tegishli moddalariga muvofiq [YURIST TOʻLDIRADI: ommaviy oferta haqidagi aniq moddalar] quyida keltirilgan shartlarda xizmat koʻrsatish shartnomasini tuzish taklifini bildiradi.",
ui.pages.offer.body.2,Статическая страница «Публичная оферта» (/offer),"2. Предмет договора. Исполнитель предоставляет Пользователю доступ к платформе yourway.uz: прохождение психологических тестов и опроса, бесплатный краткий портрет («тизер») и, после оплаты, полный отчёт одного из двух уровней («Маршрут» или «Навигатор») — персональные рекомендации по обучению, работе и развитию, составленные с помощью искусственного интеллекта на основе ответов Пользователя.","2. Shartnoma predmeti. Ijrochi Foydalanuvchiga yourway.uz platformasidan foydalanish imkonini beradi: psixologik testlar va soʻrovnomadan oʻtish, bepul qisqa portret («tizer») va toʻlovdan keyin ikki darajadan birining («Marshrut» yoki «Navigator») toʻliq hisobotini — Foydalanuvchi javoblari asosida sunʼiy intellekt yordamida tuzilgan taʼlim, ish va rivojlanish boʻyicha shaxsiy tavsiyalarni.",
ui.pages.offer.body.3,Статическая страница «Публичная оферта» (/offer),3. Порядок акцепта. Оплата услуги Пользователем (в том числе с применением промокода) означает полное и безоговорочное принятие условий настоящей оферты (акцепт).,3. Aksept tartibi. Foydalanuvchi xizmat uchun toʻlov qilishi (shu jumladan promokod bilan) ushbu oferta shartlarini toʻliq va soʻzsiz qabul qilish (aksept) hisoblanadi.,
ui.pages.offer.body.4,Статическая страница «Публичная оферта» (/offer),"4. Стоимость и порядок оплаты. Актуальные цены на уровни «Маршрут» и «Навигатор» указаны на странице /pricing и в личном кабинете перед оплатой. Оплата принимается через платёжные системы [ЗАПОЛНИТ ЮРИСТ: Payme, Click, Uzum — какие подключены на момент запуска]. Данные банковской карты Пользователя Исполнителю не передаются и не хранятся — их обрабатывает платёжная система.","4. Narx va toʻlov tartibi. «Marshrut» va «Navigator» darajalarining amaldagi narxlari /pricing sahifasida va toʻlovdan oldin shaxsiy kabinetda koʻrsatiladi. Toʻlov [YURIST TOʻLDIRADI: ishga tushirish vaqtida qaysi toʻlov tizimlari — Payme, Click, Uzum — ulanganini koʻrsatish] toʻlov tizimlari orqali qabul qilinadi. Foydalanuvchi bank kartasi maʼlumotlari Ijrochiga berilmaydi va saqlanmaydi — ularni toʻlov tizimi qayta ishlaydi.",
ui.pages.offer.body.5,Статическая страница «Публичная оферта» (/offer),"5. Порядок оказания услуги. После успешной оплаты полный отчёт формируется автоматически, обычно в течение нескольких минут. Если генерация отчёта не удалась из-за технического сбоя, Пользователю бесплатно предоставляется повторная попытка без дополнительной оплаты. Пройти тесты заново можно в любой момент бесплатно; для получения нового полного отчёта после повторного прохождения нужна новая оплата.","5. Xizmat koʻrsatish tartibi. Toʻlov muvaffaqiyatli oʻtgandan keyin toʻliq hisobot avtomatik ravishda, odatda bir necha daqiqada tuziladi. Texnik nosozlik tufayli hisobot tuzilmasa, Foydalanuvchiga qoʻshimcha toʻlovsiz qayta urinish beriladi. Testlardan istalgan vaqtda qayta bepul oʻtish mumkin; qayta oʻtgandan keyin yangi toʻliq hisobot olish uchun yangi toʻlov kerak boʻladi.",
ui.pages.offer.body.6,Статическая страница «Публичная оферта» (/offer),"6. Возврат средств. Условия и сроки возврата — на отдельной странице /refund, которая является неотъемлемой частью настоящей оферты.",6. Pulni qaytarish. Pulni qaytarish shartlari va muddatlari ushbu ofertaning ajralmas qismi boʻlgan alohida /refund sahifasida koʻrsatilgan.,
ui.pages.offer.body.7,Статическая страница «Публичная оферта» (/offer),"7. Дисклеймер и ограничение ответственности. Отчёты платформы — рекомендации для самопознания и профориентации на основе психологических тестов и данных, указанных Пользователем. Это не психологический диагноз, не медицинская услуга, не гарантия результата (поступления, дохода, карьерного роста) и не замена консультации квалифицированного специалиста (врача, психолога, карьерного консультанта). Пользователь принимает решения самостоятельно и несёт ответственность за них. [ЗАПОЛНИТ ЮРИСТ: точные формулировки ограничения ответственности по законодательству Узбекистана.]","7. Ogohlantirish va javobgarlikni cheklash. Platforma hisobotlari — psixologik testlar va Foydalanuvchi koʻrsatgan maʼlumotlar asosidagi, oʻzini anglash va kasb tanlash boʻyicha tavsiyalar. Bu psixologik tashxis emas, tibbiy xizmat emas, natija (oʻqishga kirish, daromad, karyera oʻsishi) kafolati emas va malakali mutaxassis (shifokor, psixolog, karyera boʻyicha maslahatchi) konsultatsiyasining oʻrnini bosmaydi. Foydalanuvchi qarorlarni mustaqil qabul qiladi va ular uchun javobgar boʻladi. [YURIST TOʻLDIRADI: Oʻzbekiston qonunchiligiga muvofiq javobgarlikni cheklashning aniq shakllantirilishi.]",
ui.pages.offer.body.8,Статическая страница «Публичная оферта» (/offer),"8. Обработка данных. Правила сбора и использования данных — в Политике конфиденциальности (/privacy), которая является неотъемлемой частью настоящей оферты.",8. Maʼlumotlarni qayta ishlash. Maʼlumotlarni yigʻish va ishlatish qoidalari ushbu ofertaning ajralmas qismi boʻlgan Maxfiylik siyosatida (/privacy) koʻrsatilgan.,
ui.pages.offer.body.9,Статическая страница «Публичная оферта» (/offer),"9. Срок действия и изменения. Оферта действует до момента её отзыва Исполнителем. Исполнитель может изменять условия оферты и цены в одностороннем порядке; действующая редакция всегда доступна на странице /offer. Изменения не действуют на уже оплаченные услуги.","9. Amal qilish muddati va oʻzgarishlar. Oferta Ijrochi uni bekor qilguncha amal qiladi. Ijrochi oferta shartlari va narxlarni bir tomonlama oʻzgartirishi mumkin; amaldagi tahrir doim /offer sahifasida boʻladi. Oʻzgarishlar allaqachon toʻlangan xizmatlarga taalluqli emas.",
ui.pages.offer.body.10,Статическая страница «Публичная оферта» (/offer),"10. Разрешение споров. [ЗАПОЛНИТ ЮРИСТ: досудебный порядок, срок ответа на претензию, применимое право и подсудность.]","10. Nizolarni hal qilish. [YURIST TOʻLDIRADI: sudgacha tartib, shikoyatga javob berish muddati, qoʻllaniladigan huquq va sudlanish joyi.]",
ui.pages.offer.body.11,Статическая страница «Публичная оферта» (/offer),"11. Реквизиты и контакты Исполнителя. [ЗАПОЛНИТ ЮРИСТ: полное наименование, ИНН/ПИНФЛ, адрес, банковские реквизиты, контактный e-mail и телефон для обращений по этой оферте.]","11. Ijrochining rekvizitlari va aloqa maʼlumotlari. [YURIST TOʻLDIRADI: toʻliq nomi, STIR/JSHSHIR, manzili, bank rekvizitlari, ushbu oferta boʻyicha murojaatlar uchun elektron pochta va telefon.]",
ui.pages.privacy.title,Статическая страница «Политика конфиденциальности» (/privacy),Политика конфиденциальности,Maxfiylik siyosati,
ui.pages.privacy.body.0,Статическая страница «Политика конфиденциальности» (/privacy),"Черновик для юриста. Этот текст — заготовка для сборки политики конфиденциальности; перед запуском её должен проверить и утвердить юрист [ЗАПОЛНИТ ЮРИСТ], в том числе на соответствие Закону Республики Узбекистан «О персональных данных» и требованиям об их локализации.","Yurist uchun qoralama. Bu matn — maxfiylik siyosatini tuzish uchun moʻljal; sayt ishga tushishidan oldin uni yurist koʻrib chiqishi va tasdiqlashi kerak [YURIST TOʻLDIRADI], shu jumladan Oʻzbekiston Respublikasining «Shaxsga doir maʼlumotlar toʻgʻrisida»gi qonuniga va ularni joylashtirish talablariga muvofiqligini tekshirish.",
ui.pages.privacy.body.1,Статическая страница «Политика конфиденциальности» (/privacy),"1. Какие данные мы собираем. Полное имя, номер телефона и e-mail мы не собираем и не запрашиваем. Аккаунт состоит из логина и пароля, которые придумывает сам Пользователь; пароль хранится только в виде хеша (необратимо преобразованного значения), который невозможно восстановить в исходном виде. При регистрации один раз показывается код восстановления доступа — в базе хранится только его хеш.","1. Qanday maʼlumotlarni yigʻamiz. Toʻliq ism, telefon raqami va elektron pochtani yigʻmaymiz va soʻramaymiz. Akkaunt Foydalanuvchi oʻzi oʻylab topgan login va paroldan iborat; parol faqat xesh koʻrinishida (orqaga qaytarib boʻlmaydigan tarzda oʻzgartirilgan qiymat) saqlanadi. Roʻyxatdan oʻtishda bir marta tiklash kodi koʻrsatiladi — bazada faqat uning xeshi saqlanadi.",
ui.pages.privacy.body.2,Статическая страница «Политика конфиденциальности» (/privacy),"2. Ответы на тесты и опрос. Ответы на психологические тесты и контекстный опрос, посчитанные по ним баллы и составленный профиль хранятся в базе данных и используются только для того, чтобы показать Пользователю его результат (тизер и полный отчёт). Они не передаются третьим лицам, кроме случая, описанного в пункте 3.","2. Testlar va soʻrovnoma javoblari. Psixologik testlar va kontekst soʻrovnomasiga javoblar, ular boʻyicha hisoblangan ballar va tuzilgan profil bazada saqlanadi va faqat Foydalanuvchiga natijasini (tizer va toʻliq hisobot) koʻrsatish uchun ishlatiladi. Ular 3-bandda koʻrsatilgan holatdan tashqari uchinchi shaxslarga berilmaydi.",
ui.pages.privacy.body.3,Статическая страница «Политика конфиденциальности» (/privacy),"3. Передача данных для составления отчёта. Для генерации тизера и полного отчёта обезличенные (без логина, пароля и IP-адреса) результаты тестов и ответы опроса передаются провайдеру искусственного интеллекта (Anthropic, модели Claude) в виде запроса на генерацию текста. Этот провайдер не использует переданные данные для обучения своих моделей [ЗАПОЛНИТ ЮРИСТ: подтвердить условиями текущего договора с провайдером на момент запуска].","3. Hisobot tuzish uchun maʼlumot uzatish. Tizer va toʻliq hisobotni tuzish uchun shaxssizlashtirilgan (login, parol va IP-manzilsiz) test natijalari va soʻrovnoma javoblari sunʼiy intellekt taʼminotchisiga (Anthropic, Claude modellari) matn tuzish soʻrovi koʻrinishida uzatiladi. Bu taʼminotchi uzatilgan maʼlumotlardan oʻz modellarini oʻqitish uchun foydalanmaydi [YURIST TOʻLDIRADI: ishga tushirish vaqtida taʼminotchi bilan amaldagi shartnoma shartlari bilan tasdiqlash].",
ui.pages.privacy.body.4,Статическая страница «Политика конфиденциальности» (/privacy),"4. IP-адрес. IP-адрес используется только для защиты от перебора паролей и злоупотребления бесплатной генерацией тизера. Сохраняется не сам адрес, а его необратимый хеш; хеш не позволяет восстановить исходный IP-адрес.","4. IP-manzil. IP-manzil faqat parolni tanlab topishdan himoyalanish va bepul tizer tuzishdan suisteʼmol qilishning oldini olish uchun ishlatiladi. Manzilning oʻzi emas, uning orqaga qaytarib boʻlmaydigan xeshi saqlanadi.",
ui.pages.privacy.body.5,Статическая страница «Политика конфиденциальности» (/privacy),"5. Где хранятся данные. Данные хранятся на сервере, расположенном [ЗАПОЛНИТ ЮРИСТ: указать страну размещения сервера и базы данных на момент запуска — по закону персональные данные граждан Узбекистана должны обрабатываться с использованием баз данных, физически размещённых на территории Узбекистана].",5. Maʼlumotlar qayerda saqlanadi. Maʼlumotlar [YURIST TOʻLDIRADI: ishga tushirish vaqtida server va baza joylashgan davlatni koʻrsatish — qonunga koʻra Oʻzbekiston fuqarolarining shaxsga doir maʼlumotlari Oʻzbekiston hududida joylashgan bazalar orqali qayta ishlanishi kerak] joylashgan serverda saqlanadi.,
ui.pages.privacy.body.6,Статическая страница «Политика конфиденциальности» (/privacy),"6. Платежи. Данные банковской карты Исполнителю не передаются и не хранятся: их обрабатывает платёжная система (Payme/Click/Uzum). Мы храним только идентификатор транзакции, сумму и статус оплаты.","6. Toʻlovlar. Bank kartasi maʼlumotlari Ijrochiga berilmaydi va saqlanmaydi: ularni toʻlov tizimi (Payme/Click/Uzum) qayta ishlaydi. Biz faqat toʻlov identifikatorini, summasini va holatini saqlaymiz.",
